vendor,generation,gen_launch_year,gpu_count,avg_price_2024_adj,avg_ppd_native,avg_ppd_no_fg,avg_ppd_with_fg,avg_raw_perf,avg_eff_perf_with_fg
AMD,RX 5000,2019,4,372.405,0.1675,0.1675,0.1675,60.0,60.0
AMD,RX 6000,2020,6,691.2667,0.1498,0.1873,0.1873,96.1667,120.2083
AMD,RX 7000,2022,6,654.1917,0.1954,0.2442,0.3224,115.1667,190.025
AMD,RX 9000,2025,2,564.82,0.2888,0.3898,0.5053,163.0,285.25
Intel,Arc A,2022,2,348.35,0.2016,0.242,0.242,70.0,84.0
Intel,Arc B,2024,2,296.21,0.2946,0.3977,0.3977,86.0,116.1
Nvidia,RTX 2000,2018,7,746.4486,0.1063,0.117,0.117,74.8571,82.3429
Nvidia,RTX 3000,2020,7,904.03,0.1246,0.162,0.162,94.1429,122.3857
Nvidia,RTX 4000,2022,9,850.1244,0.1699,0.2208,0.2887,128.8889,219.1111
Nvidia,RTX 5000,2025,4,1056.82,0.2142,0.2892,0.4285,194.0,388.0
